id,semestre,codigo,nombre,tipo,requisitos,correquisitos,creditos,horasTot,horasEC
CIB0001,0,MA0101,Matemática general,Teórico,,,2,5,1
CYD0002,0,CI0205,Prueba avanzada de inglés,No aplica,,,0,0,0
CIB0101,1,MA1102,Cálculo diferencial e integral,Teórico,MA0101,,4,5,7
CIB0102,1,FI1101,Física general I,Teórico,,MA1102,3,4,5
CIB0103,1,FI2201,Laboratorio de física general I,Práctico,,FI1101,1,2,1
CIB0104,1,QU1106,Química básica I,Teórico,,,3,4,5
CIB0105,1,QU1102,Laboratorio de química básica I,Práctico,,QU1106,1,2,1
CYD0106,1,CI1106,Comunicación escrita,Teórico,,,2,3,3
CYD0107,1,MI2101,Dibujo técnico,Teórico,,,3,4,5
FPH0108,1,MI0701,Introducción a la Ingeniería Electromecánica,Teórico,,,1,2,1
FPH0109,1,FH1000,Centros de formación humanística,Teórico,,,0,3,0
CIB0201,2,MA1103,Cálculo y álgebra lineal,Teórico,MA1102,,4,4,8
CIB0202,2,FI1102,Física general II,Teórico,FI1101; MA1102,,3,4,5
CIB0203,2,FI1202,Laboratorio de física general II,Práctico,FI2201,FI1102,1,2,1
AUT0205,2,CAXXXX,Introducción a la computación,Teórico,MI0701,,3,4,5
CYD0206,2,CI1107,Comunicación oral,Teórico,CI1106,,1,3,0
IMM0207,2,MI2106,Estática,Teórico,FI1101; MI2101,,3,4,5
FPH0209,2,CS1502,Introducción a la técnica ciencia y tecnología,Teórico,,CS2303,1,2,1
FPH0208,2,CS2303,Relaciones laborales,Teórico,MI0701,,2,3,3
CIB0301,3,MA2105,Ecuaciones diferenciales,Teórico,MA1103,,4,4,8
CIB0302,3,FI2103,Física general III,Teórico,MA1102; FI1101,,3,4,5
IEE0303,3,MI0702,Análisis de circuitos I,Teórico,FI1202; FI1102,,3,4,5
IEE0304,3,MI0703,Laboratorio de circuitos I,Práctico,,MI0702,1,2,1
IEE0305,3,MI0704,Transductores,Teórico - Práctico,CAXXXX,MI0703,2,3,3
IMM0307,3,MI3117,Dinámica,Teórico,MI2106,MA2105,3,4,5
