id,antes,despues
CYD0107,CIB0001,IMM0207;IMM0507;CYD0609
FPH0108,,FPH0208
AUT0205,CIB0001,IEE0305;CIB0402;AUT0705
IMM0207,CIB0101;CIB0102;CYD0107,IMM0307;IMM0605;IMM0607;AUT0504
IEE0303,CIB0101;CIB0202,IEE0403;IEE0305;IEE0405
IEE0304,CIB0101;CIB0202,IEE0403;IEE0305;IEE0405
IEE0305,CIB0102;CIB0202,IEE0405;AUT0504;AUT0704;AUT0804
IMM0307,CIB0102;IMM0207;CIB0301;CYD0107,AUT0504;IMM0706;AER0806;SCF0906
IEE0403,IEE0303;CIB0101;CIB0202,AUT0504;IEE0702
IEE0404,IEE0303;CIB0101;CIB0202,AUT0504;IEE0702
IEE0405,AUT0205;IEE0305,AUT0504;AUT0704;AUT0804
IMM0407,CIB0102;CIB0302,IMM0606;IMM0707
ADD0502,CIB0401,ADD0602;FPH0701;IMM0706
IEE0503,IEE0303;IEE0403;IEE0405,IEE0604
AUT0504,CIB0301;CIB0402;IMM0307,AUT0704;IMM0707;IMM0607
IMM0506,CIB0104;CIB0202;IMM0207,IMM0605;IMM0606;IMM0706;AER0807
IMM0507,CYD0107;IMM0506,CYD0609;IMM0706;SCF0906;AER1203
IMM0508,CYD0107;IMM0506,CYD0609;IMM0706;SCF0906;AER1203
ADD0602,ADD0502,FPH0701;IMM0706;INS0808;INS1006
IEE0604,IEE0503;AUT0205,AUT0705;AUT0804
IMM0605,IMM0207;IMM0506;CIB0301;CYD0107,IMM0706;AER0806;AER0807;SCF0906
IMM0607,CIB0301;AUT0504;IMM0407,IMM0707;INS0807;INS0903
IMM0608,CIB0301;AUT0504;IMM0407,IMM0707;INS0807;INS0903
CYD0609,CYD0107;IMM0507;IMM0508,IMM0706;AER0806;SCF0906
FPH0701,ADD0602,INS0808;INS0905
IEE0702,IEE0403;IEE0404,IEE0802;IEE0803;INS0806
IEE0703,IEE0403;IEE0404,IEE0802;IEE0803;INS0806
AUT0704,CIB0301;AUT0504,AUT0705;SCF0906;SCF0907
AUT0705,IEE0604;IEE0503,SCF0807
IMM0706,IMM0605;IMM0506;IMM0507;IMM0508;CYD0609,SCF0806;SCF0906;AER0906
IMM0707,IMM0407;IMM0606;IMM0607,INS0807;INS0908;AER0902
IMM0708,IMM0407;IMM0606;IMM0607,INS0807;INS0908;AER0902
IEE0802,IEE0702;IEE0703,INS0801;INS0901
IEE0803,IEE0702;IEE0703,INS0801;INS0901
AUT0804,AUT0705;AUT0704;IEE0604,INS1203;SCF0902
AUT0805,AUT0804;AUT0704;AUT0705,INS1203;SCF0902
INS0801,IEE0702,INS0901;INS1003
INS0806,IEE0702,INS1201
INS0807,IMM0407;IMM0607;IMM0707,INS0906;INS0908
INS0808,ADD0602;FPH0701,INS0906;INS1006;INS0905
INS0901,INS0801;IEE0802,INS1003
INS0903,IMM0407;IMM0606;IMM0607;IMM0707,LEM0001
INS0904,IMM0407;IMM0606;IMM0607;IMM0707,LEM0001
INS0905,ADD0502;ADD0602;FPH0701,INS1005;LEM0001
INS0906,IMM0607;IMM0707;INS0807,INS0907;INS1007;INS1202
INS0907,IMM0607;IMM0707,INS1007
INS0908,IMM0407;IMM0606;IMM0607,INS1003
INS0909,IMM0606;IMM0707;INS0807,INS1003
INS1003,INS0901;INS0908,
INS1005,INS0905,
INS1006,ADD0602;INS0808,
INS1007,INS0907;AUT0804;INS0807,
INS1201,INS0806;INS0801,
INS1202,INS0906;INS0806,
INS1203,AUT0805;INS0806,
AER0801,IMM0706;IMM0707;IEE0702,AER0901;AER1001;AER1201
AER0807,IMM0506;AER0806,AER0906;AER1203
AER0808,ADD0502,AER1001
AER0902,AUT0504;IMM0607,AER0903;AER1002;AER1003
AER0903,IMM0307;AUT0504,AER1003
AER0906,AER0807;AUT0504,LEM0001
AER0908,AER0808,AER1001;AER1201
AER1001,AER0808;AER0901;AER0908,
AER1002,IMM0607;IMM0707;AER0906,
AER1003,AER0902;AER0903;AUT0704;AER0801;AER0901,
AER1202,IEE0405;IEE0604;AER0901,
AER1203,FPH0701;ADD0602;AER0801,
SCF0801,FPH0701,SCF1001
SCF0806,IMM0307;IMM0605;CYD0609;IMM0706,SCF0906;AER0906
SCF0807,AUT0705,SCF0903;SCF0907
SCF0808,AUT0705;AUT0205,SCF0903
SCF0901,IMM0506;IMM0606;IMM0607,SCF1001
SCF0906,AUT0704;AUT0804;SCF0806,SCF1201
SCF1001,SCF0801;SCF0902,
SCF1002,IEE0405;SCF0801,
SCF1201,SCF0903;SCF0906,
SCF1202,SCF0903;SCF0907,
SCF1203,AUT0705;SCF0807;SCF0907,
